age,gender,income,education,region,loyalty_status,purchase_frequency,purchase_amount,product_category,promotion_usage,satisfaction_score,Cluster
30,0,42928,College,East,Silver,rare,16099,Electronics,0,6,1
30,1,44137,HighSchool,South,Regular,frequent,15072,Electronics,0,5,2
25,0,10177,College,South,Regular,occasional,4400,Electronics,0,5,0
27,1,45036,College,East,Regular,rare,13403,Electronics,0,6,2
27,1,18253,HighSchool,South,Regular,occasional,7212,Electronics,0,6,0
33,0,24359,Bachelor,East,Regular,occasional,8759,Books,0,4,0
28,1,33172,Masters,West,Regular,occasional,14286,Beauty,1,5,2
36,1,24546,Bachelor,South,Regular,occasional,9581,Electronics,0,4,0
31,1,26954,HighSchool,West,Silver,rare,6700,Electronics,0,5,3
27,0,41853,College,North,Regular,occasional,14005,Electronics,0,4,2
26,1,31074,Bachelor,West,Regular,rare,12197,Electronics,0,3,2
33,1,46298,Bachelor,West,Silver,rare,12712,Food,0,6,1
27,0,21436,Bachelor,North,Silver,rare,8158,Clothing,0,5,3
23,1,35122,College,West,Regular,frequent,12213,Home,1,5,2
26,0,33097,Bachelor,East,Regular,occasional,11954,Food,0,5,2
29,1,5091,Bachelor,North,Regular,frequent,1866,Food,0,5,0
36,0,41939,College,West,Silver,frequent,11752,Health,0,4,1
34,0,39184,Bachelor,West,Gold,occasional,14780,Food,0,5,4
33,1,32085,College,West,Silver,rare,12094,Health,1,5,1
25,1,23449,Bachelor,East,Regular,rare,8650,Health,1,7,0
37,0,7821,College,West,Regular,frequent,2342,Electronics,0,5,0
27,1,43729,HighSchool,North,Regular,occasional,11719,Health,0,4,2
37,1,5787,College,East,Regular,rare,1850,Beauty,0,6,0
31,0,31222,College,North,Regular,occasional,12040,Food,0,5,2
30,0,15502,Bachelor,South,Silver,frequent,4201,Clothing,0,6,3
29,1,34436,Bachelor,North,Regular,rare,11714,Health,0,6,2
22,1,35296,Bachelor,North,Gold,occasional,14021,Beauty,0,5,4
33,1,35502,Masters,West,Regular,rare,10354,Books,0,5,2
29,1,46249,Bachelor,West,Silver,occasional,18565,Food,0,6,1
30,1,17200,Masters,North,Silver,rare,5711,Electronics,1,4,3
31,0,12844,Bachelor,West,Regular,rare,3906,Food,1,5,0
35,1,48434,College,West,Regular,rare,18563,Electronics,0,6,2
26,0,12797,Bachelor,West,Regular,rare,5268,Clothing,0,6,0
32,0,27806,HighSchool,East,Regular,rare,12344,Books,1,5,2
24,1,47859,Bachelor,East,Regular,occasional,19251,Food,1,4,2
29,1,17924,College,North,Regular,occasional,5525,Electronics,0,6,0
23,0,49855,HighSchool,West,Gold,frequent,19917,Health,0,3,4
29,1,44419,HighSchool,North,Regular,frequent,16712,Books,0,6,2
25,1,17683,HighSchool,South,Regular,rare,5310,Food,0,4,0
28,0,15943,Masters,North,Silver,frequent,5303,Clothing,1,5,3
24,1,10505,Bachelor,West,Regular,rare,4027,Clothing,1,5,0
26,1,20954,Bachelor,East,Silver,rare,6332,Health,0,5,3
29,1,46037,College,South,Silver,rare,13691,Beauty,0,4,1
31,1,34566,College,North,Regular,rare,13416,Books,0,4,2
34,1,29321,HighSchool,South,Regular,occasional,8988,Electronics,0,7,2
36,0,30069,Bachelor,North,Regular,occasional,10548,Electronics,0,5,2
30,0,13423,HighSchool,East,Regular,occasional,5368,Food,0,5,0
30,1,13072,College,East,Silver,frequent,3949,Electronics,1,6,3
33,1,19917,Masters,East,Regular,frequent,6611,Food,0,4,0
32,1,19908,College,West,Gold,frequent,7677,Electronics,1,6,4
27,1,35960,HighSchool,East,Regular,rare,14065,Beauty,0,5,2
24,1,43383,HighSchool,South,Regular,frequent,15350,Books,1,5,2
31,1,23358,College,North,Regular,frequent,7268,Health,0,5,0
27,0,49160,College,East,Silver,rare,15691,Books,0,4,1
29,0,8827,College,West,Regular,occasional,3467,Food,0,3,0
34,1,48829,College,West,Silver,rare,21007,Electronics,0,5,1
33,1,9380,College,West,Silver,rare,2921,Books,0,6,3
31,0,7204,College,West,Regular,occasional,1951,Electronics,1,4,0
24,0,23865,College,East,Silver,occasional,7821,Electronics,0,4,3
20,1,33938,College,South,Silver,rare,12296,Clothing,0,4,1
31,1,12424,Bachelor,East,Regular,occasional,4720,Food,0,4,0
33,1,41225,Bachelor,West,Silver,frequent,15780,Electronics,1,5,1
33,1,39750,HighSchool,North,Regular,frequent,11620,Books,1,5,2
31,1,19170,Bachelor,West,Regular,rare,6788,Clothing,0,5,0
29,0,45184,Bachelor,North,Regular,rare,18156,Food,0,5,2
22,0,39996,Bachelor,West,Silver,rare,10214,Food,1,6,1
37,0,40880,Masters,West,Silver,frequent,12600,Food,0,5,1
32,0,40849,Bachelor,North,Silver,frequent,12154,Food,0,4,1
28,1,39988,HighSchool,East,Silver,occasional,15718,Clothing,1,4,1
35,0,44950,College,North,Regular,occasional,12527,Electronics,1,4,2
27,1,6436,College,East,Regular,occasional,2489,Beauty,0,5,0
26,0,47761,College,East,Silver,frequent,16858,Electronics,0,3,1
28,0,15185,HighSchool,South,Regular,rare,6818,Clothing,0,5,0
35,0,17175,HighSchool,North,Gold,rare,6180,Electronics,1,6,4
27,0,47611,Masters,East,Silver,frequent,16333,Clothing,0,4,1
28,0,19493,College,West,Regular,rare,6281,Food,1,4,0
30,1,31488,Bachelor,East,Regular,occasional,9653,Electronics,0,5,2
44,0,6191,College,East,Regular,occasional,2222,Books,0,6,0
37,1,6415,College,West,Regular,rare,2468,Electronics,1,3,0
35,1,11915,Bachelor,South,Regular,rare,3276,Beauty,1,7,0
25,1,29063,Masters,West,Gold,rare,9785,Electronics,1,4,4
32,0,34913,HighSchool,East,Regular,occasional,10935,Beauty,0,8,2
33,0,23946,HighSchool,South,Silver,frequent,7828,Health,0,4,3
22,0,34162,College,North,Regular,occasional,12139,Food,0,5,2
27,0,6093,Masters,East,Silver,rare,2073,Clothing,0,4,3
22,1,14503,Bachelor,North,Regular,rare,5032,Electronics,0,5,0
30,0,8989,College,East,Regular,occasional,3918,Health,1,5,0
30,1,27477,HighSchool,West,Regular,rare,10178,Electronics,1,5,0
31,0,31997,College,West,Regular,occasional,11555,Clothing,1,4,2
28,0,24222,College,South,Regular,rare,9617,Health,1,5,0
24,0,33271,College,South,Gold,rare,9822,Electronics,0,5,4
28,1,32447,Bachelor,East,Gold,frequent,11844,Clothing,0,7,4
20,1,30263,Masters,East,Silver,rare,10991,Beauty,0,6,1
27,0,6183,HighSchool,North,Regular,rare,1706,Electronics,0,5,0
24,1,12685,College,West,Silver,rare,4377,Clothing,0,6,3
35,0,22841,College,North,Regular,occasional,6054,Books,0,2,0
21,0,18581,Bachelor,South,Regular,rare,5843,Electronics,0,4,0
32,0,27130,Bachelor,East,Regular,rare,9769,Food,1,5,0
30,0,39774,HighSchool,East,Regular,occasional,16592,Electronics,0,6,2
21,0,15554,College,East,Regular,occasional,6494,Clothing,0,6,0
21,0,17742,Masters,South,Regular,occasional,5122,Health,1,5,0
34,1,22824,College,East,Gold,occasional,7962,Beauty,1,4,4
35,1,37551,College,South,Regular,occasional,11958,Books,0,5,2
33,1,26542,Masters,East,Regular,occasional,9671,Electronics,0,6,0
31,0,21006,College,East,Regular,rare,6442,Electronics,0,5,0
26,1,5414,Bachelor,East,Regular,rare,2029,Health,1,4,0
25,0,33661,HighSchool,East,Silver,rare,14679,Electronics,0,4,1
29,1,24942,College,West,Gold,rare,9254,Electronics,0,6,4
37,1,27138,College,West,Regular,rare,9617,Home,0,5,0
31,0,48693,HighSchool,West,Regular,rare,21400,Clothing,0,4,2
26,1,49554,College,North,Silver,occasional,19561,Food,0,4,1
36,1,14695,College,East,Regular,occasional,5707,Clothing,1,5,0
38,1,32895,HighSchool,South,Regular,frequent,11542,Books,1,6,2
29,1,10661,Bachelor,North,Regular,rare,3569,Beauty,0,5,0
26,1,40428,College,West,Regular,rare,16907,Electronics,0,5,2
33,0,45705,Bachelor,East,Regular,occasional,14570,Clothing,1,6,2
39,1,33391,College,South,Silver,rare,13088,Health,0,6,1
30,1,35716,Masters,West,Silver,frequent,14599,Electronics,1,6,1
30,1,44257,College,South,Silver,rare,13964,Electronics,1,4,1
22,1,17916,Bachelor,West,Regular,occasional,6719,Home,0,5,0
34,0,15447,Masters,West,Silver,rare,5212,Health,1,5,3
30,1,23324,College,West,Regular,occasional,9768,Electronics,0,5,0
36,0,38030,College,North,Regular,rare,9455,Books,0,8,2
31,1,43883,Bachelor,North,Regular,occasional,12799,Health,0,5,2
33,0,14035,College,West,Gold,rare,5211,Beauty,1,6,4
18,1,10473,College,West,Silver,frequent,3679,Clothing,1,4,3
26,1,11336,Bachelor,West,Silver,rare,4051,Books,0,5,3
29,0,11384,HighSchool,North,Silver,rare,4429,Books,0,5,3
37,1,9767,Masters,West,Regular,occasional,3740,Food,0,5,0
21,1,15961,College,East,Regular,frequent,5967,Health,0,7,0
33,0,20543,College,West,Regular,occasional,6456,Books,0,5,0
31,0,42399,College,North,Silver,occasional,16972,Food,1,4,1
27,1,20179,Bachelor,North,Regular,frequent,8052,Electronics,0,7,0
34,0,16479,Bachelor,North,Silver,rare,5591,Electronics,1,5,3
31,0,5165,College,West,Silver,frequent,1780,Books,0,5,3
23,0,22545,Bachelor,West,Regular,occasional,6136,Electronics,0,3,0
26,1,33305,College,South,Gold,rare,12335,Home,1,4,4
29,0,38871,College,North,Regular,rare,12316,Clothing,0,4,2
27,1,30759,Bachelor,East,Silver,rare,9542,Health,1,5,1
32,1,7382,College,West,Regular,occasional,2387,Books,1,4,0
29,1,40924,HighSchool,North,Gold,rare,11798,Books,0,4,4
31,1,32523,College,North,Regular,rare,9853,Clothing,1,5,2
28,0,48930,Bachelor,North,Regular,rare,16797,Beauty,0,6,2
42,1,5102,HighSchool,West,Regular,rare,1745,Electronics,1,5,0
30,1,42887,HighSchool,South,Regular,rare,15915,Electronics,0,7,2
31,0,41408,Bachelor,East,Regular,rare,14839,Electronics,0,6,2
32,0,27977,Bachelor,North,Silver,occasional,9432,Electronics,0,3,1
25,1,17363,Bachelor,North,Regular,frequent,6679,Home,1,4,0
21,1,34343,HighSchool,East,Silver,frequent,10878,Clothing,1,7,1
28,0,20019,Bachelor,South,Regular,frequent,6258,Food,0,6,0
26,1,7425,Bachelor,West,Silver,occasional,2972,Food,0,6,3
34,1,32150,Bachelor,East,Regular,frequent,12219,Beauty,0,6,2
26,1,41608,Bachelor,East,Regular,frequent,14608,Food,1,4,2
20,0,16074,College,South,Silver,occasional,4733,Health,0,6,3
32,0,9855,College,East,Regular,rare,3431,Books,0,6,0
28,0,16650,College,East,Silver,rare,5784,Electronics,0,6,3
17,0,27788,Bachelor,East,Silver,rare,9557,Home,0,4,1
27,0,26387,College,North,Regular,rare,9295,Electronics,1,4,0
27,0,5727,College,South,Regular,rare,2283,Food,1,4,0
30,0,11103,Masters,South,Silver,frequent,3106,Books,0,4,3
35,0,35012,College,North,Gold,rare,12964,Electronics,1,5,4
34,1,23986,HighSchool,West,Silver,occasional,7270,Beauty,1,7,3
27,0,43003,College,East,Silver,rare,15057,Health,1,6,1
29,1,13451,College,East,Silver,frequent,3846,Books,1,6,3
33,1,46501,College,West,Silver,occasional,13901,Clothing,0,3,1
31,1,48722,College,East,Regular,occasional,21938,Electronics,1,5,2
29,0,15643,Bachelor,North,Silver,frequent,6780,Food,1,6,3
31,1,16199,College,South,Silver,frequent,5142,Electronics,0,7,3
34,1,34948,Masters,East,Regular,rare,14573,Beauty,1,6,2
24,1,37816,College,West,Regular,occasional,16535,Home,0,4,2
21,0,35794,Bachelor,East,Gold,rare,12429,Books,0,5,4
29,0,5415,Bachelor,East,Silver,occasional,1784,Electronics,0,5,3
31,1,12659,College,West,Silver,rare,5240,Health,0,7,3
33,0,17285,Bachelor,South,Silver,rare,6142,Electronics,0,5,3
29,0,15881,College,West,Regular,rare,5025,Clothing,0,4,0
35,1,24855,Bachelor,East,Regular,rare,7607,Books,0,6,0
35,1,11748,Masters,North,Regular,rare,3920,Books,0,6,0
28,1,12221,Bachelor,South,Regular,rare,4587,Clothing,1,5,0
23,0,6861,College,East,Regular,frequent,2157,Books,1,3,0
29,0,47951,College,East,Regular,occasional,20278,Clothing,0,5,2
28,0,21189,HighSchool,West,Gold,occasional,7966,Food,0,4,4
32,1,16231,College,East,Regular,rare,6189,Electronics,1,3,0
28,0,46489,HighSchool,South,Regular,frequent,21130,Electronics,1,6,2
32,1,17030,College,West,Regular,rare,6323,Health,0,4,0
24,0,35397,College,East,Regular,rare,9644,Clothing,0,5,2
29,0,36796,College,North,Regular,frequent,12504,Books,1,4,2
26,1,43028,College,North,Silver,occasional,16167,Electronics,0,4,1
24,1,31929,HighSchool,West,Regular,rare,12183,Books,1,7,2
25,0,9427,HighSchool,West,Regular,rare,3016,Health,0,6,0
28,1,39794,Bachelor,East,Regular,rare,16190,Electronics,0,7,2
31,1,20206,College,North,Regular,rare,6198,Electronics,0,5,0
24,1,23687,Bachelor,West,Silver,rare,8957,Electronics,1,5,3
26,0,16667,HighSchool,West,Regular,rare,7009,Food,0,5,0
29,1,22666,HighSchool,East,Regular,occasional,6966,Electronics,0,6,0
29,1,25453,HighSchool,South,Regular,rare,9462,Health,1,5,0
32,1,13871,College,North,Regular,frequent,5167,Books,1,5,0
32,0,9656,College,West,Regular,rare,3022,Clothing,0,3,0
26,0,28384,College,South,Regular,frequent,9810,Food,0,7,2
32,0,43016,Bachelor,North,Regular,rare,15804,Books,0,5,2
28,0,30797,HighSchool,West,Regular,rare,12483,Clothing,1,6,2
34,0,34913,Bachelor,North,Silver,frequent,16633,Electronics,0,4,1
29,0,11090,College,East,Regular,occasional,4023,Electronics,1,5,0
28,0,6608,Bachelor,West,Regular,occasional,2429,Books,1,5,0
25,0,14181,Masters,West,Regular,rare,4421,Food,0,5,0
29,0,43996,HighSchool,North,Silver,rare,15617,Beauty,0,7,1
37,0,48046,Masters,East,Regular,occasional,17738,Electronics,1,6,2
30,1,10428,Masters,East,Regular,occasional,4602,Clothing,0,5,0
27,1,30524,HighSchool,South,Regular,frequent,10649,Books,0,4,2
31,0,31500,Masters,East,Silver,rare,12108,Clothing,0,6,1
33,1,39251,HighSchool,East,Regular,rare,10279,Clothing,0,5,2
28,1,47717,College,West,Regular,rare,13835,Clothing,1,6,2
35,0,48214,Bachelor,East,Regular,rare,19216,Food,1,5,2
25,0,48928,Bachelor,West,Regular,rare,23425,Books,0,6,2
34,0,7621,College,East,Regular,frequent,2347,Clothing,1,4,0
29,1,39627,Bachelor,East,Gold,frequent,17124,Electronics,1,6,4
34,1,5575,HighSchool,South,Regular,rare,1906,Food,0,5,0
32,1,26978,College,East,Regular,occasional,10522,Clothing,0,4,0
32,0,7518,College,East,Gold,occasional,1809,Beauty,0,7,4
33,0,11756,Bachelor,West,Regular,rare,3687,Electronics,1,5,0
22,1,49128,College,East,Regular,rare,18896,Health,0,6,2
27,1,45389,Bachelor,North,Silver,occasional,18590,Food,0,4,1
35,0,26437,College,South,Regular,rare,8486,Food,0,4,0
40,1,47411,HighSchool,South,Regular,rare,21513,Food,1,5,2
31,0,30402,College,West,Silver,rare,9308,Food,1,5,1
35,0,37080,College,East,Silver,frequent,10974,Home,1,3,1
31,0,37806,Bachelor,East,Regular,occasional,10170,Electronics,1,4,2
30,1,27984,HighSchool,South,Silver,rare,10593,Clothing,0,5,1
29,0,32755,Bachelor,East,Gold,occasional,12590,Electronics,1,5,4
24,1,14100,College,East,Regular,rare,4703,Home,1,5,0
31,0,47052,Bachelor,South,Regular,occasional,14586,Books,0,5,2
37,1,7219,Bachelor,North,Regular,frequent,2318,Electronics,0,6,0
28,0,36076,College,East,Silver,occasional,12384,Electronics,1,5,1
37,1,41411,College,North,Gold,occasional,15513,Food,1,7,4
26,1,40643,Bachelor,South,Regular,rare,15948,Electronics,0,4,2
29,0,11071,Bachelor,East,Regular,frequent,3344,Books,0,5,0
33,1,6358,Bachelor,West,Regular,frequent,2498,Food,0,5,0
35,0,25982,HighSchool,South,Regular,occasional,7519,Food,0,5,0
34,0,17967,Bachelor,North,Silver,rare,7570,Electronics,0,6,3
25,1,19251,Masters,East,Regular,rare,6296,Electronics,1,6,0
24,1,20030,Masters,West,Silver,frequent,5105,Books,0,6,3
38,0,47895,Masters,West,Gold,rare,15679,Clothing,1,5,4
30,0,18383,HighSchool,South,Silver,occasional,8000,Books,0,7,3
32,1,9815,HighSchool,West,Gold,rare,3436,Electronics,1,5,4
33,0,37253,College,West,Regular,occasional,11335,Electronics,0,3,2
23,1,25046,Bachelor,East,Silver,rare,10407,Electronics,0,5,3
24,0,23390,College,East,Silver,frequent,7607,Books,1,5,3
30,1,47773,Bachelor,East,Regular,rare,17526,Electronics,1,6,2
31,1,22165,Bachelor,North,Regular,rare,9044,Clothing,0,6,0
22,1,36645,Bachelor,South,Regular,occasional,13947,Books,0,6,2
33,1,11791,College,East,Gold,rare,3734,Clothing,0,4,4
37,1,23004,College,West,Gold,occasional,7483,Food,0,4,4
26,0,20262,College,East,Silver,occasional,8002,Food,1,4,3
32,0,7663,College,East,Regular,occasional,2012,Food,0,6,0
32,1,25381,HighSchool,East,Regular,rare,9760,Food,1,6,0
27,1,43032,HighSchool,East,Regular,frequent,15662,Electronics,0,4,2
28,1,49884,College,West,Regular,rare,15868,Clothing,0,4,2
21,1,18562,Bachelor,South,Regular,rare,5881,Electronics,0,7,0
21,1,47312,Masters,West,Regular,occasional,15194,Health,1,6,2
33,0,37429,College,West,Silver,rare,10832,Electronics,1,6,1
30,0,7688,HighSchool,West,Regular,rare,2219,Home,1,6,0
25,0,23491,Masters,East,Regular,frequent,9638,Beauty,1,6,0
27,0,27710,College,East,Gold,rare,8175,Beauty,0,6,4
36,1,10623,College,South,Regular,frequent,2356,Electronics,0,5,0
32,1,28903,Bachelor,West,Gold,rare,8738,Electronics,0,6,4
27,1,17982,College,East,Regular,occasional,6148,Clothing,0,5,0
32,0,22512,Bachelor,South,Regular,rare,7414,Electronics,0,6,0
32,0,47684,Bachelor,South,Gold,rare,17296,Health,1,5,4
28,1,18201,College,South,Silver,occasional,6469,Books,1,5,3
35,1,14397,HighSchool,West,Regular,rare,4736,Clothing,0,3,0
31,0,48600,College,West,Regular,occasional,16994,Health,0,4,2
30,1,26580,Bachelor,West,Regular,rare,8313,Electronics,0,6,0
34,1,47088,College,South,Regular,occasional,18609,Beauty,0,6,2
31,0,20071,Bachelor,West,Silver,rare,6874,Food,1,6,3
28,0,33446,College,West,Regular,occasional,10150,Clothing,0,7,2
37,1,34323,HighSchool,West,Regular,occasional,13872,Home,1,6,2
29,1,21273,Bachelor,East,Regular,rare,8992,Electronics,0,6,0
29,1,14603,College,North,Regular,occasional,6563,Electronics,0,5,0
27,1,18723,Masters,East,Regular,occasional,5035,Electronics,0,5,0
25,1,31411,Masters,West,Regular,rare,9886,Clothing,0,5,2
27,0,13241,College,East,Regular,occasional,3839,Electronics,0,4,0
36,0,35940,HighSchool,North,Regular,occasional,11615,Food,0,6,2
26,1,43630,Bachelor,South,Regular,rare,16486,Health,0,4,2
33,1,42635,HighSchool,South,Silver,rare,11292,Clothing,1,4,1
23,1,32077,Bachelor,East,Regular,rare,10183,Clothing,0,4,2
30,0,28163,HighSchool,West,Silver,rare,11724,Books,1,3,1
26,1,27761,HighSchool,North,Gold,rare,10288,Clothing,1,6,4
30,1,26995,Bachelor,West,Regular,occasional,9914,Food,0,5,0
33,1,11016,College,East,Regular,rare,4331,Clothing,0,3,0
28,1,26232,HighSchool,North,Regular,frequent,10244,Food,0,4,0
25,1,42964,HighSchool,South,Regular,occasional,17436,Books,0,6,2
28,1,42622,College,South,Regular,occasional,16309,Clothing,0,5,2
28,1,35495,College,North,Regular,occasional,11715,Electronics,0,5,2
19,1,25642,Bachelor,South,Regular,occasional,8679,Clothing,0,4,0
26,0,38843,Masters,East,Regular,rare,13712,Electronics,0,6,2
30,1,8078,College,West,Regular,rare,2132,Books,0,5,0
29,1,28675,Bachelor,East,Regular,frequent,9734,Electronics,0,6,2
28,0,12314,College,North,Regular,rare,4868,Clothing,0,5,0
34,1,21360,College,West,Silver,rare,8084,Books,1,5,3
33,1,47263,Masters,West,Regular,occasional,14986,Electronics,0,6,2
27,0,30931,HighSchool,South,Regular,occasional,11448,Clothing,0,7,2
32,1,24883,Bachelor,West,Silver,frequent,6917,Books,0,7,3
28,1,22488,Bachelor,East,Regular,rare,8184,Clothing,1,6,0
27,1,42549,HighSchool,East,Regular,occasional,14853,Books,1,5,2
31,0,11853,Masters,South,Regular,frequent,5183,Electronics,0,4,0
31,0,18442,College,East,Regular,rare,6585,Electronics,1,4,0
25,0,20244,College,East,Silver,occasional,7954,Beauty,0,5,3
19,0,35005,College,South,Silver,rare,9597,Electronics,0,5,1
31,1,47413,Bachelor,North,Regular,rare,13185,Electronics,0,4,2
36,1,33852,College,South,Silver,occasional,8387,Electronics,1,6,1
30,1,26734,College,East,Regular,rare,6915,Electronics,1,4,0
33,1,41495,HighSchool,West,Regular,rare,17494,Books,0,6,2
28,1,28275,HighSchool,North,Regular,occasional,8409,Electronics,0,5,2
30,1,45100,Bachelor,North,Silver,occasional,15914,Books,1,4,1
32,0,31386,Masters,North,Regular,occasional,11973,Electronics,1,4,2
31,0,20248,Bachelor,South,Regular,frequent,6282,Clothing,1,4,0
38,1,48659,Masters,East,Regular,occasional,13508,Electronics,0,5,2
29,0,45211,College,East,Regular,frequent,19188,Electronics,0,5,2
26,0,30082,Bachelor,West,Silver,rare,10510,Electronics,0,6,1
26,0,27641,HighSchool,South,Gold,occasional,10602,Books,0,5,4
28,1,44645,College,West,Regular,rare,12777,Home,0,2,2
36,1,33765,College,South,Regular,rare,10940,Books,0,6,2
32,0,32621,College,West,Silver,occasional,9408,Health,1,4,1
28,0,18781,Bachelor,North,Regular,rare,6371,Electronics,0,5,0
